都道府県名,年齢5歳階級,人口（総数）
北海道,総数,5506419
北海道,15〜19歳,258530
北海道,20〜24歳,264185
北海道,65〜69歳,363599
北海道,総数,5381733
北海道,15〜19歳,239098
北海道,20〜24歳,234274
北海道,65〜69歳,448646
青森県,総数,1373339
青森県,15〜19歳,67308
青森県,20〜24歳,56205
青森県,65〜69歳,88421
青森県,総数,1308265
青森県,15〜19歳,60960
青森県,20〜24歳,50486
青森県,65〜69歳,108925
岩手県,総数,1330147
岩手県,15〜19歳,64637
岩手県,20〜24歳,54739
岩手県,65〜69歳,84522
岩手県,総数,1279594
岩手県,15〜19歳,58332
岩手県,20〜24歳,49304
岩手県,65〜69歳,100241
宮城県,総数,2348165
宮城県,15〜19歳,120010
宮城県,20〜24歳,130179
宮城県,65〜69歳,133960
宮城県,総数,2333899
宮城県,15〜19歳,113969
宮城県,20〜24歳,116391
宮城県,65〜69歳,168177
秋田県,総数,1085997
秋田県,15〜19歳,47154
秋田県,20〜24歳,38110
秋田県,65〜69歳,71496
秋田県,総数,1023119
秋田県,15〜19歳,41948
秋田県,20〜24歳,32642
秋田県,65〜69歳,89176
山形県,総数,1168924
山形県,15〜19歳,54898
山形県,20〜24歳,48242
山形県,65〜69歳,70716
山形県,総数,1123891
山形県,15〜19歳,50953
山形県,20〜24歳,42706
山形県,65〜69歳,88099
福島県,総数,2029064
福島県,15〜19歳,101390
福島県,20〜24歳,88659
福島県,65〜69歳,119495
福島県,総数,1914039
福島県,15〜19歳,89826
福島県,20〜24歳,76683
福島県,65〜69歳,147232
茨城県,総数,2969770
茨城県,15〜19歳,144480
茨城県,20〜24歳,145495
茨城県,65〜69歳,193226
茨城県,総数,2916976
茨城県,15〜19歳,140357
茨城県,20〜24歳,129447
茨城県,65〜69歳,230584
栃木県,総数,2007683
栃木県,15〜19歳,93535
栃木県,20〜24歳,93793
栃木県,65〜69歳,122010
栃木県,総数,1974255
栃木県,15〜19歳,90747
栃木県,20〜24歳,84564
栃木県,65〜69歳,155130
群馬県,総数,2008068
群馬県,15〜19歳,96344
群馬県,20〜24歳,89790
群馬県,65〜69歳,130494
群馬県,総数,1973115
群馬県,15〜19歳,95840
群馬県,20〜24歳,86285
群馬県,65〜69歳,157725
埼玉県,総数,7194556
埼玉県,15〜19歳,356249
埼玉県,20〜24歳,389023
埼玉県,65〜69歳,494324
埼玉県,総数,7266534
埼玉県,15〜19歳,352775
埼玉県,20〜24歳,373218
埼玉県,65〜69歳,557503
千葉県,総数,6216289
千葉県,15〜19歳,283408
千葉県,20〜24歳,316050
千葉県,65〜69歳,429359
千葉県,総数,6222666
千葉県,15〜19歳,289116
千葉県,20〜24歳,298538
千葉県,65〜69歳,486671
東京都,総数,13159388
東京都,15〜19歳,546573
東京都,20〜24歳,785911
東京都,65〜69歳,771396
東京都,総数,13515271
東京都,15〜19歳,566729
東京都,20〜24歳,753698
東京都,65〜69歳,854575
神奈川県,総数,9048331
神奈川県,15〜19歳,421017
神奈川県,20〜24歳,497253
神奈川県,65〜69歳,572060
神奈川県,総数,9126214
神奈川県,15〜19歳,435960
神奈川県,20〜24歳,475327
神奈川県,65〜69歳,638669
新潟県,総数,2374450
新潟県,15〜19歳,112142
新潟県,20〜24歳,102654
新潟県,65〜69歳,147915
新潟県,総数,2304264
新潟県,15〜19歳,106885
新潟県,20〜24歳,94792
新潟県,65〜69歳,186205
富山県,総数,1093247
富山県,15〜19歳,47585
富山県,20〜24歳,44071
富山県,65〜69歳,75348
富山県,総数,1066328
富山県,15〜19歳,48020
富山県,20〜24歳,41579
富山県,65〜69歳,93135
石川県,総数,1169788
石川県,15〜19歳,56755
石川県,20〜24歳,57742
石川県,65〜69歳,75312
石川県,総数,1154008
石川県,15〜19歳,57473
石川県,20〜24歳,54552
石川県,65〜69歳,95296
福井県,総数,806314
福井県,15〜19歳,38693
福井県,20〜24歳,34902
福井県,65〜69歳,49933
福井県,総数,786740
福井県,15〜19歳,38113
福井県,20〜24歳,32689
福井県,65〜69歳,61484
山梨県,総数,863075
山梨県,15〜19歳,45018
山梨県,20〜24歳,40689
山梨県,65〜69歳,54397
山梨県,総数,834930
山梨県,15〜19歳,42895
山梨県,20〜24歳,37785
山梨県,65〜69歳,63778
長野県,総数,2152449
長野県,15〜19歳,98872
長野県,20〜24歳,84308
長野県,65〜69歳,142418
長野県,総数,2098804
長野県,15〜19歳,97491
長野県,20〜24歳,77986
長野県,65〜69歳,163385
岐阜県,総数,2080773
岐阜県,15〜19歳,101669
岐阜県,20〜24歳,98504
岐阜県,65〜69歳,137783
岐阜県,総数,2031903
岐阜県,15〜19歳,101629
岐阜県,20〜24歳,89684
岐阜県,65〜69歳,162641
静岡県,総数,3765007
静岡県,15〜19歳,169029
静岡県,20〜24歳,163839
静岡県,65〜69歳,251035
静岡県,総数,3700305
静岡県,15〜19歳,167947
静岡県,20〜24歳,147307
静岡県,65〜69歳,290853
愛知県,総数,7410719
愛知県,15〜19歳,361670
愛知県,20〜24歳,403988
愛知県,65〜69歳,464480
愛知県,総数,7483128
愛知県,15〜19歳,377041
愛知県,20〜24歳,383655
愛知県,65〜69歳,527710
三重県,総数,1854724
三重県,15〜19歳,88478
三重県,20〜24歳,86035
三重県,65〜69歳,121826
三重県,総数,1815865
三重県,15〜19歳,87245
三重県,20〜24歳,78170
三重県,65〜69歳,140129
滋賀県,総数,1410777
滋賀県,15〜19歳,72773
滋賀県,20〜24歳,79444
滋賀県,65〜69歳,82658
滋賀県,総数,1412916
滋賀県,15〜19歳,74153
滋賀県,20〜24歳,71473
滋賀県,65〜69歳,101609
京都府,総数,2636092
京都府,15〜19歳,130780
京都府,20〜24歳,158153
京都府,65〜69歳,176653
京都府,総数,2610353
京都府,15〜19歳,131235
京都府,20〜24歳,147511
京都府,65〜69歳,207567
大阪府,総数,8865245
大阪府,15〜19歳,416930
大阪府,20〜24歳,469906
大阪府,65〜69歳,622138
大阪府,総数,8839469
大阪府,15〜19歳,432442
大阪府,20〜24歳,446399
大阪府,65〜69歳,672033
兵庫県,総数,5588133
兵庫県,15〜19歳,268710
兵庫県,20〜24歳,274110
兵庫県,65〜69歳,375521
兵庫県,総数,5534800
兵庫県,15〜19歳,270905
兵庫県,20〜24歳,250659
兵庫県,65〜69歳,434111
奈良県,総数,1400728
奈良県,15〜19歳,72494
奈良県,20〜24歳,72474
奈良県,65〜69歳,99854
奈良県,総数,1364316
奈良県,15〜19歳,70004
奈良県,20〜24歳,65484
奈良県,65〜69歳,113923
和歌山県,総数,1002198
和歌山県,15〜19歳,46996
和歌山県,20〜24歳,41014
和歌山県,65〜69歳,70825
和歌山県,総数,963579
和歌山県,15〜19歳,45295
和歌山県,20〜24歳,37816
和歌山県,65〜69歳,80784
鳥取県,総数,588667
鳥取県,15〜19歳,27864
鳥取県,20〜24歳,24777
鳥取県,65〜69歳,35865
鳥取県,総数,573441
鳥取県,15〜19歳,26385
鳥取県,20〜24歳,22602
鳥取県,65〜69歳,45580
島根県,総数,717397
島根県,15〜19歳,32899
島根県,20〜24歳,26948
島根県,65〜69歳,45463
島根県,総数,694352
島根県,15〜19歳,31126
島根県,20〜24歳,24854
島根県,65〜69歳,58378
岡山県,総数,1945276
岡山県,15〜19歳,94662
岡山県,20〜24歳,97478
岡山県,65〜69歳,128664
岡山県,総数,1921525
岡山県,15〜19歳,95478
岡山県,20〜24歳,90711
岡山県,65〜69歳,150704
広島県,総数,2860750
広島県,15〜19歳,136168
広島県,20〜24歳,137098
広島県,65〜69歳,189386
広島県,総数,2843990
広島県,15〜19歳,135576
広島県,20〜24歳,129284
広島県,65〜69歳,224342
山口県,総数,1451338
山口県,15〜19歳,65331
山口県,20〜24歳,61443
山口県,65〜69歳,103800
山口県,総数,1404729
山口県,15〜19歳,63772
山口県,20〜24歳,56419
山口県,65〜69歳,124489
徳島県,総数,785491
徳島県,15〜19歳,35137
徳島県,20〜24歳,33817
徳島県,65〜69歳,50082
徳島県,総数,755733
徳島県,15〜19歳,33699
徳島県,20〜24歳,30057
徳島県,65〜69歳,64808
香川県,総数,995842
香川県,15〜19歳,43947
香川県,20〜24歳,39973
香川県,65〜69歳,63747
香川県,総数,976263
香川県,15〜19歳,44768
香川県,20〜24歳,36777
香川県,65〜69歳,83042
愛媛県,総数,1431493
愛媛県,15〜19歳,65646
愛媛県,20〜24歳,58624
愛媛県,65〜69歳,94089
愛媛県,総数,1385262
愛媛県,15〜19歳,62603
愛媛県,20〜24歳,51846
愛媛県,65〜69歳,116490
高知県,総数,764456
高知県,15〜19歳,35086
高知県,20〜24歳,29081
高知県,65〜69歳,52209
高知県,総数,728276
高知県,15〜19歳,32785
高知県,20〜24歳,26702
高知県,65〜69歳,64157
福岡県,総数,5071968
福岡県,15〜19歳,256926
福岡県,20〜24歳,275804
福岡県,65〜69歳,307005
福岡県,総数,5101556
福岡県,15〜19歳,251462
福岡県,20〜24歳,252385
福岡県,65〜69歳,387794
佐賀県,総数,849788
佐賀県,15〜19歳,43817
佐賀県,20〜24歳,38976
佐賀県,65〜69歳,49113
佐賀県,総数,832832
佐賀県,15〜19歳,42542
佐賀県,20〜24歳,35630
佐賀県,65〜69歳,62831
長崎県,総数,1426779
長崎県,15〜19歳,71016
長崎県,20〜24歳,59140
長崎県,65〜69歳,86751
長崎県,総数,1377187
長崎県,15〜19歳,64833
長崎県,20〜24歳,54663
長崎県,65〜69歳,110560
熊本県,総数,1817426
熊本県,15〜19歳,90657
熊本県,20〜24歳,84206
熊本県,65〜69歳,106597
熊本県,総数,1786170
熊本県,15〜19歳,85116
熊本県,20〜24歳,75010
熊本県,65〜69歳,135949
大分県,総数,1196529
大分県,15〜19歳,56077
大分県,20〜24歳,53272
大分県,65〜69歳,77706
大分県,総数,1166338
大分県,15〜19歳,53587
大分県,20〜24歳,46785
大分県,65〜69歳,96368
宮崎県,総数,1135233
宮崎県,15〜19歳,55543
宮崎県,20〜24歳,46827
宮崎県,65〜69歳,68865
宮崎県,総数,1104069
宮崎県,15〜19歳,52298
宮崎県,20〜24歳,41007
宮崎県,65〜69歳,88745
鹿児島県,総数,1706242
鹿児島県,15〜19歳,84977
鹿児島県,20〜24歳,72956
鹿児島県,65〜69歳,98783
鹿児島県,総数,1648177
鹿児島県,15〜19歳,76184
鹿児島県,20〜24歳,61058
鹿児島県,65〜69歳,124560
沖縄県,総数,1392818
沖縄県,15〜19歳,83477
沖縄県,20〜24歳,76546
沖縄県,65〜69歳,58874
沖縄県,総数,1433566
沖縄県,15〜19歳,80791
沖縄県,20〜24歳,71233
沖縄県,65〜69歳,79074
